fincode,invdate,noshares,percent_aum,schemecode
132843,2026-05-31,1596009,1.60,3644
217379,2026-05-31,800000,1.55,3644
132720,2026-05-31,4475000,1.47,3644
124715,2026-05-31,750000,1.46,3644
219300,2026-05-31,2700000,1.34,3644
132777,2026-05-31,1225000,1.32,3644
100469,2026-05-31,4000000,1.25,3644
100096,2026-05-31,2600000,1.25,3644
100620,2026-05-31,800000,1.23,3644
200020,2026-05-31,1700000,1.20,3644
235506,2026-05-31,1975000,1.18,3644
124372,2026-05-31,1368070,1.17,3644
132683,2026-05-31,240000,1.17,3644
100049,2026-05-31,2500000,1.11,3644
100233,2026-05-31,900000,1.04,3644
237831,2026-05-31,3505301,1.04,3644
293380,2026-05-31,550000,1.04,3644
217389,2026-05-31,1600000,1.03,3644
209550,2026-05-31,1775000,1.01,3644
117334,2026-05-31,6300000,0.99,3644
132162,2026-05-31,2448191,0.98,3644
208661,2026-05-31,819878,0.97,3644
132868,2026-05-31,1500000,0.96,3644
132443,2026-05-31,158582,0.95,3644
132134,2026-05-31,3280313,0.95,3644
269404,2026-05-31,280000,0.95,3644
100312,2026-05-31,3250000,0.93,3644
132689,2026-05-31,895599,0.93,3644
219494,2026-05-31,200000,0.93,3644
100547,2026-05-31,2600000,0.84,3644
131162,2026-05-31,1885214,0.81,3644
200094,2026-05-31,3389544,0.75,3644
123642,2026-05-31,250000,0.75,3644
303107,2026-05-31,3773869,0.74,3644
293862,2026-05-31,2600000,0.72,3644
290269,2026-05-31,319238,0.70,3644
320627,2026-05-31,4678594,0.51,3644
117385,2026-05-31,601299,0.45,3644
100047,2026-05-31,100000,0.00,3644
217816,2026-05-31,58452,0.00,3644
131159,2026-05-31,200000,0.00,3644
126624,2026-05-31,70000,0.00,3644
100440,2026-05-31,4870568,6.51,45342
207901,2026-05-31,1219356,5.99,45342
100112,2026-05-31,4399792,5.03,45342
111218,2026-05-31,4427513,4.97,45342
105200,2026-05-31,580491,4.94,45342
100820,2026-05-31,1547977,4.90,45342
100034,2026-05-31,4251519,4.58,45342
132454,2026-05-31,2019340,4.38,45342
132343,2026-05-31,1025068,4.08,45342
132500,2026-05-31,256177,3.99,45342
